Term,CRN,Subj,Crse,Title,Campus,Enrollment,%Passing,A,B,C,P,D,F,NP,W,Other,ITV,TV,WEB,CLWEB,TVWEB
F07,42392,MTH,60,Introductory Algebra- 1st Term,1,25,60.00%,6,6,3,0,2,1,1,6,0,0,0,1,0,0
F07,42486,MTH,65,Introductory Algebra-2nd Term,2,24,79.20%,9,6,4,0,1,2,0,2,0,0,0,0,0,0
F07,42487,MTH,60,Introductory Algebra- 1st Term,2,26,53.80%,5,4,4,1,2,9,0,1,0,0,0,0,0,0
F07,42488,MTH,20,Basic Math,2,36,83.30%,10,12,7,1,1,0,1,4,0,0,0,0,0,0
F07,42490,MTH,95,Intermediate Algebra,2,19,84.20%,5,3,8,0,0,0,2,1,0,0,0,0,0,0
F07,42507,MTH,112,Elementary Functions,1,29,93.10%,16,9,2,0,1,0,0,1,0,0,0,0,0,0
F07,42571,MTH,95,Intermediate Algebra,3,25,44.00%,1,3,7,0,4,9,1,0,0,0,0,0,0,0
F07,42631,MTH,252,Calculus II,1,27,48.10%,4,3,6,0,3,4,0,3,4,0,0,0,0,0
F07,42632,MTH,95,Intermediate Algebra,1,21,47.60%,4,3,3,0,3,4,0,3,1,0,0,1,0,0
F07,42633,MTH,95,Intermediate Algebra,1,33,69.70%,5,12,6,0,3,2,2,3,0,0,0,0,0,0
